CoreNumber,ReductionMethod,ToolNumber,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,TechnicalCategory,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,FlakeProfile,ProfileTwisted?,Mass,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,Curvature,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,Notes
d1,freehand,89,CompFlake,,No,A3,91-99%,YesComplete,WholeDorsal,0,Indeterminate,,Paralell,No,0.43,15.5,17.77,9.39,8.88,2.42,2.41,5.93,2.02,2.71,0.1,Feather,NotPrepared,,None,No,NotExpressed,RegCurve,None,HertzianCone,NoLip,OvalOrTriangle,No,,
d10,freehand,11,BrokenButNearlyComplete,Complete,No,B1,0%,No,,3,Unidirectional,Parallel,,No,2.31,31.34,31.2,16.04,16.05,4.86,3.9,9.45,4.19,4.06,0.3,Hinge,FacetedWithBulb,2,HingedRemovals,Yes,Centered,OverhangCurveBreak,None,HertzianCone,Indeterminate,OvularOrTriangular,No,,
d10,freehand,26,FlakeFrag,Distal,,B1,0%,,,3,Unidirectional,Indeterminate,,,0.46,13.1,0,12.07,0,5.22,0,0,0,0,0,Feather,,,,,,,,,,,No,,
d10,freehand,35,CompFlake,,No,B1,1-9%,YesComplete,LeftLateral,1,Indeterminate,,Converging,No,0.34,17.57,17.55,10.05,10.02,3,2.09,6.58,3.17,2.21,0.1,Hinge,,,None,No,Centered,RegCurve,None,None,LargeContinuousLip,OvularOrTriangular,No,,
d10,freehand,36,CompFlake,,No,B7,11-40%,YesComplete,LeftLateral,1,Unidirectional,,Converging,Yes,0.92,19.65,20.27,16.55,16.48,5.39,3.31,2.2,1.74,0,0,Feather,,0,HingedRemovals,No,Indeterminate,Indeterminate,PartialFissure,ErrailuerScar,NoLip,OvularOrTriangular,No,,
d10,freehand,37,FlakeFrag,Proximal,,B1,0%,No,,4,Unidirectional,Parallel,,No,0.38,10.38,0,13.97,10.51,3.14,0,2.6,1.39,0,0,,NotPrepared,,HingedRemovals,Yes,NotExpressed,RegCurve,None,HertzianCone,NoLip,OvularOrTriangular,No,,
d10,freehand,40,CompFlake,,No,B1,0%,No,,3,Unidirectional,Parallel,Expanding,No,0.19,13.67,9.85,12.06,10.87,2.73,1.69,0,1.03,0,0,Feather,Indeterminate,,HingedRemovals,Yes,Indeterminate,Indeterminate,None,HingedBulb,Indeterminate,Crushed,No,,
d10,freehand,41,FlakeFrag,Distal,,B7,11-40%,,LeftLateral,1,Unidirectional,,,,0.09,9.81,0,7.66,0,2.45,0,0,0,0,0,Axial,,,,,,,,,,,No,,
d10,freehand,47,CompFlake,,No,A2,100%,YesComplete,WholeDorsal,0,Indeterminate,,Converging,No,9.92,37.79,37.75,30.27,29.55,8.91,7.55,3.45,1.91,0,0.6,Feather,,0,None,Indeterminate,Indeterminate,RegCurve,PartialFissure,HingedBulb,NoLip,QuadrangularTrapezoid,No,,
d10,freehand,48,CompFlake,,No,B2,61-90%,YesComplete,Distal,2,Unidirectional,,Expanding,Yes,3.66,38.09,35.85,21.78,21.76,4.89,5.96,10.03,4.81,4.41,2.1,Feather,,0,None,No,Centered,OverhangCurveBreak,None,HertzianCone,SmallOrPartialLip,OvularOrTriangular,No,,
d10,freehand,80,FlakeFrag,Proximal,,B1,0%,No,,1,Unidirectional,,,Yes,0.1,9.91,0,13.43,10.77,1.44,0,0,0,0,0,,NotPrepared,,Indeterminate,No,Lateral,Indeterminate,None,HertzianCone,NoLip,ReducedToAnEdge,No,,
d10,freehand,81,FlakeFrag,Proximal,,B1,0%,No,,2,Unidirectional,,,No,0.36,11.97,0,14.38,11.71,2.86,0,0,0,0,0,,NotPrepared,,HingedRemovals,Yes,Indeterminate,Indeterminate,None,None,NoLip,Crushed,No,,
d10,freehand,89,CompFlake,,No,B1,0%,No,,2,Unidirectional,,Converging,Yes,0.06,16.43,16.41,4.55,3.08,0.92,0.78,1.09,0.5,0,0.1,Feather,NotPrepared,,HingedRemovals,Yes,NotExpressed,RegCurve,None,HertzianCone,SmallOrPartialLip,OvularOrTriangular,No,,
d10,freehand,91,CompFlake,,No,A2,100%,YesComplete,WholeDorsal,0,Indeterminate,,Expanding,No,0.18,0.306,0.305,0.5185,0.4225,0.11,0.0535,0.118,0.061,0,0,Feather,,,None,No,NotExpressed,Indeterminate,None,HingedBulb,NoLip,Indeterminate,No,,
d12,freehand,100,FlakeFrag,Proximal,,B7,41-60%,YesPartial,RightLateral,1,Unidirectional,,,Yes,0.51,15.06,0,9.81,9.8,3.55,0,0,0,0,0,,NotPrepared,,None,Indeterminate,NotExpressed,Indeterminate,None,HingedBulb,Indeterminate,Indeterminate,No,,
d10,freehand,109,FlakeFrag,Proximal,,B1,0%,No,,3,Unidirectional,Parallel,,Yes,0.37,13.25,0,10.49,10,3.9,0,7.8,2.1,3.29,0,,NotPrepared,,HingedRemovals,Yes,Indeterminate,RegCurve,None,None,NoLip,QuadrangularTrapezoid,No,,
d10,freehand,109,CompFlake,,No,B2,11-40%,YesComplete,DistalLeftLat,1,Unidirectional,,Ovoid,No,1.33,19.05,18.45,21.53,21.53,4.38,4.32,2.14,1.41,0,0.7,Feather,,,Indeterminate,Indeterminate,Indeterminate,RegCurve,PartialFissure,ErrailuerScar,SmallOrPartialLip,QuadrangularTrapezoid,No,,
d10,freehand,110,CompFlake,,No,B7,11-40%,No,LeftLateral,1,Unidirectional,,Paralell,No,0.16,15.15,15.16,6.8,6.79,1.95,1.51,0,1.71,0,0,Feather,Indeterminate,,Indeterminate,No,Indeterminate,Indeterminate,None,HingedBulb,NoLip,Indeterminate,No,,
d10,freehand,113,CompFlake,,No,B1,0%,YesComplete,,3,Unidirectional,Parallel,Paralell,No,0.91,17.37,17.26,12.25,12.26,4.86,3.44,9.97,4.61,3.55,0,Feather,,,LateralNotching,No,NotExpressed,RegCurve,None,HertzianCone,SmallOrPartialLip,OvularOrTriangular,No,,
d10,freehand,118,BrokenButNearlyComplete,Complete,No,B1,0%,No,,3,Subradial,,,Yes,0.15,17.68,17.65,5.68,4.17,1.65,1.24,0,0.52,0,0,Hinge,NotPrepared,,HingedRemovals,Yes,Indeterminate,Indeterminate,None,HertzianCone,Indeterminate,ReducedToAnEdge,No,,
d10,freehand,125,FlakeFrag,Proximal,,A3,91-99%,YesComplete,WholeDorsal,1,Unidirectional,,,No,0.11,7.4,0,13.84,10.65,1.85,0,2.82,1.19,0,0,,,,None,No,Lateral,RegCurve,None,HertzianCone,NoLip,OvularOrTriangular,No,,
d10,freehand,126,CompFlake,,No,B1,0%,No,,2,Unidirectional,,Paralell,Yes,0.07,14.63,14.63,6.1,4.04,1.27,0.81,1.09,0.41,0,0.1,Feather,NotPrepared,,HingedRemovals,Yes,NotExpressed,RegCurve,None,HertzianCone,NoLip,NarrowLinear,No,,
