DateOfDataEntry,Flaking condition,CoreNumber,ToolNumber,QuartzGrain,QuartzGrainSize,QuartzPlane,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,ReboundForce,TechnicalCategory,FlakeProfile,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,CrossSectionType,ProfileTwisted?,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,EPACaliper,Mass,Curvature,Notes,Photograph
02.18.16,Bipolar,6,1,Grain_Absent,,Plane_Present,CompFlake,Complete,Yes,Yes,B7,Parallel,11-40%,No,LeftLateral,5,Bidirectional,Parallel,Domed,No,Crushed,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,26.72,24.96,15.43,15.31,7.45,6.02,3.47,1.37,1.06,Small,3.19,0.8,,Yes
02.18.16,Bipolar,8,1,Grain_Present,Coarse_Grain,Plane_Present,CompFlake,Complete,Yes,Yes,B7,Expanding,1-9%,No,RightLateral,2,Bidirectional,Indeterminate,Trapezoidal,Yes,Splintered,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ShearedBulb,NoLip,Crushed,No,,37.61,27.62,28.42,16.05,6.42,6.42,4.76,2.05,1.58,Small,3.22,0,,Yes
02.23.16,Bipolar,14,1,Grain_Absent,,Plane_Present,CompFlake,Complete,Indeterminate,No,A3,Parallel,100%,No,WholeDorsal,0,Indeterminate,Indeterminate,Other,No,Feather,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,Crushing,NoLip,Crushed,No,,12.13,12.09,5.75,5.75,1.52,1.51,1.42,0.55,0.86,Small,0.11,0,,Yes
03.01.16,Freehand,1,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,91-99%,,WholeDorsal,1,,,,Yes,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.13,0,,No
03.01.16,Freehand,14,1,Grain_Absent,,Plane_Present,FlakeFrag,ProxRightLat,No,No,,,11-40%,YesComplete,Indeterminate,2,Unidirectional,Parallel,Domed,No,,NotPrepared,,None,No,Lateral,OverhangCurveBreak,CompleteFissure,Crushing,NoLip,QuadrangularTrapezoid,No,,0,0,0,0,4.71,0,0,3.2,2.53,Small,0.63,0,,No
03.03.16,Freehand,7,1,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,No,,,0%,No,,1,,,,No,,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,0,0,0,0,3.05,0,4.17,1.58,1.41,Small,0.25,0,,No
02.23.16,Bipolar,18,1,Grain_Present,Coarse_Grain,Plane_Present,FlakeFrag,Mesial,Yes,Yes,,,0%,,,2,BiOrUni,Parallel,Other,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.04,0,,No
02.25.16,Bipolar,15,1,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,No,,,0%,No,,2,BiOrUni,Parallel,Triangular,No,,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ShearedBulb,NoLip,Crushed,No,,0,0,0,0,1.04,0,1.54,0.5,0.52,Small,0.06,0,nice little bladelet prox end,Yes
02.25.16,Bipolar,9,1,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,No,,,0%,No,,3,Bidirectional,Parallel,Domed,No,,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,0,0,0,0,3.47,0,4.45,1.27,1.11,Small,0.19,0,,No
03.03.16,Freehand,5,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,0%,,,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.1,0,,No
03.03.16,Freehand,8,1,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,No,No,,,0%,No,,1,,,,Yes,,NotPrepared,,None,No,NotExpressed,RegCurve,None,HertzianCone,NoLip,Reducedtoanedge,No,,0,0,0,0,1.84,0,2.64,0.78,1.37,Small,0.17,0,,No
02.25.16,Bipolar,11,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,Indeterminate,No,,,11-40%,,LeftLateral,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.09,0,,No
02.29.16,Freehand,3,1,Grain_Absent,,Plane_Present,FlakeFrag,Distal,No,No,,,0%,,,1,,,,Yes,Axial,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.1,0,,No
03.01.16,Freehand,15,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,100%,,WholeDorsal,0,Indeterminate,Indeterminate,Other,Yes,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.3,0,,No
02.25.16,Bipolar,7,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,0%,,,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.15,0,,No
02.25.16,Bipolar,20,1,Grain_Absent,,Plane_Present,CompFlake,Complete,Yes,Yes,B7,Converging,0%,No,,3,Bidirectional,Parallel,Trapezoidal,No,Axial,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,13.13,13.13,6.53,5.76,1.93,2.16,5.9,0.79,0.93,Small,0.21,0,,No
02.25.16,Bipolar,5,1,Grain_Absent,,Plane_Absent,FlakeFrag,Fragment,No,No,,,0%,,,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.1,0,,No
02.27.16,Bipolar,13,1,Grain_Absent,,Plane_Present,FlakeFrag,Distal,Indeterminate,No,,,0%,,,1,,,,Yes,Feather,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.07,0,,No
03.01.16,Freehand,6,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,0%,,,1,,,,Yes,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.06,0,,No
03.01.16,Freehand,2,1,Grain_Absent,,Plane_Present,CompFlake,Complete,No,No,CoreMaintenanceFlake,Other,1-9%,No,Indeterminate,3,Unidirectional,Parallel,Domed,No,Feather,NotPrepared,,None,No,Centered,RegCurve,None,None,NoLip,QuadrangularTrapezoid,No,,16.58,11.97,19.69,19.53,8.17,8.16,17.55,5.93,1.63,Small,3.13,0.4,,Yes
03.01.16,Freehand,4,1,Grain_Absent,,Plane_Present,FlakeFrag,ProxRightLat,No,No,,,61-90%,No,WholeDorsal,1,,,,No,,ResidualFacetWithoutBulb,1,None,No,Lateral,RegCurve,None,HertzianCone,NoLip,QuadrangularTrapezoid,No,,0,0,0,0,5.9,0,0,5.37,1.75,Small,3.8,0,,Yes
03.04.16,Freehand,10,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,1-9%,,LeftLateral,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.18,0,,No
03.04.16,Freehand,9,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,No,,,0%,,,1,,,,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.07,0,,No
12.22.15,Freehand,19,10,Grain_Absent,,Plane_Present,CompFlake,Complete,No,,B1,Parallel,1-9%,No,LeftLateral,1,,,,No,Feather,NotPrepared,,None,No,NotExpressed,RegCurve,None,RipplesUndulations,NoLip,Reducedtoanedge,No,,11.22,11.22,6.88,6.87,1.73,1.72,2.78,0.46,0,Small,0.12,0.2,,Yes
02.05.16,Freehand,18,10,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,,,,1-9%,,Indeterminate,5,Indeterminate,Indeterminate,Domed,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,0.48,0,,Yes
02.08.16,Freehand,16,10,Grain_Absent,,Plane_Present,CompFlake,Complete,No,,B1,Parallel,0%,YesComplete,,1,,,,No,Feather,NotPrepared,,None,No,Centered,OverhangCurveBreak,None,HertzianCone,NoLip,OvularOrTriangular,No,,8.33,8.29,9.65,8.62,1.47,1.13,4.62,1.37,1.59,Small,0.13,0,,Yes
02.08.16,Freehand,17,10,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,No,,,,0%,No,,2,Unidirectional,Parallel,Triangular,No,,NotPrepared,,None,No,NotExpressed,RegCurve,None,RipplesUndulations,NoLip,Reducedtoanedge,No,,0,0,0,0,3.66,0,1.88,1.06,0,Small,0.33,0,,Yes
02.08.16,Freehand,20,10,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,No,,,,1-9%,No,RightLateral,1,,,,Yes,,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,ErrailuerScar,NoLip,Reducedtoanedge,No,,0,0,0,0,2.58,0,3.78,0.5,0,Small,0.55,0,,Yes
02.09.16,Bipolar,25,10,Grain_Absent,,Plane_Present,CompFlake,Complete,Yes,No,B4,Expanding,1-9%,No,Distal,1,,,,Yes,Bipolar,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,19.15,19.13,6.95,3.99,4.35,3.03,2.94,0.22,0.64,Small,0.54,0,great bp flake,Yes
